Residence,Region,Sub-Region,Period,Study
"Others, Southeast Asia",Asia,Southeast Asia,2012-07,13
United Kingdom,Europe,,2012-07,38
Spain,Europe,,2012-07,27
Switzerland,Europe,,2012-07,27
Netherlands,Europe,,2012-07,36
Italy,Europe,,2012-07,38
Germany,Europe,,2012-07,121
France,Europe,,2012-07,156
Belgium,Europe,,2012-07,11
"Others, America",America,,2012-07,113
Argentina,America,,2012-07,4
Brazil,America,,2012-07,9
Mexico,America,,2012-07,8
United States of America,America,,2012-07,596
Canada,America,,2012-07,67
"Others, Asia",Asia,,2012-07,49
HongKong. Macao,Asia,,2012-07,105
Austria,Europe,,2012-07,18
Greece,Europe,,2012-07,2
"Others, Africa",Africa,,2012-08,106
Argentina,America,,2012-08,4
Brazil,America,,2012-08,42
Mexico,America,,2012-08,40
United States of America,America,,2012-08,548
Canada,America,,2012-08,81
"Others, Asia",Asia,,2012-08,156
"Others, Southeast Asia",Asia,Southeast Asia,2012-08,79
Vietnam,Asia,Southeast Asia,2012-08,505
Thailand,Asia,Southeast Asia,2012-08,196
Philippines,Asia,Southeast Asia,2012-08,59
Indonesia,Asia,Southeast Asia,2012-08,542
Singapore,Asia,Southeast Asia,2012-08,123
Malaysia,Asia,Southeast Asia,2012-08,1682
Middle East,Asia,,2012-08,37
