Residence,Region,Sub-Region,Period,Conference
Malaysia,Asia,Southeast Asia,2012-07,431
Middle East,Asia,,2012-07,53
India,Asia,,2012-07,168
"Korea,Republic of",Asia,,2012-07,314
Philippines,Asia,Southeast Asia,2012-07,124
Sweden,Europe,,2012-07,15
"Others, Europe",Europe,,2012-07,133
Australia,Oceania,,2012-07,214
New Zealand,Oceania,,2012-07,36
"Others, Oceania",Oceania,,2012-07,16
S. Africa,Africa,,2012-07,33
Japan,Asia,,2012-07,677
Russian Federation,Europe,,2012-07,31
Thailand,Asia,Southeast Asia,2012-07,183
Vietnam,Asia,Southeast Asia,2012-07,87
"Others, Southeast Asia",Asia,Southeast Asia,2012-07,15
United Kingdom,Europe,,2012-07,90
Spain,Europe,,2012-07,21
Switzerland,Europe,,2012-07,9
Netherlands,Europe,,2012-07,35
Italy,Europe,,2012-07,33
Germany,Europe,,2012-07,109
France,Europe,,2012-07,51
Belgium,Europe,,2012-07,11
"Others, America",America,,2012-07,65
Argentina,America,,2012-07,1
Brazil,America,,2012-07,14
Mexico,America,,2012-07,14
United States of America,America,,2012-07,507
Canada,America,,2012-07,142
"Others, Asia",Asia,,2012-07,39
HongKong. Macao,Asia,,2012-07,378
Austria,Europe,,2012-07,13
Greece,Europe,,2012-07,1
"Others, Africa",Africa,,2012-08,10
Argentina,America,,2012-08,1
Brazil,America,,2012-08,9
Mexico,America,,2012-08,6
United States of America,America,,2012-08,374
Canada,America,,2012-08,52
"Others, Asia",Asia,,2012-08,41
"Others, Southeast Asia",Asia,Southeast Asia,2012-08,13
Vietnam,Asia,Southeast Asia,2012-08,87
Thailand,Asia,Southeast Asia,2012-08,152
Philippines,Asia,Southeast Asia,2012-08,240
Indonesia,Asia,Southeast Asia,2012-08,128
Singapore,Asia,Southeast Asia,2012-08,275
Malaysia,Asia,Southeast Asia,2012-08,261
